name,psnr,ssim,level
beautiful_smile_00001,23.70565697653342,0.8273075251926045,1
beautiful_smile_00006,17.833287720088833,0.7414842595446756,2
beautiful_smile_00008,26.765354461611338,0.9214596264367725,0
beautiful_smile_00011,26.736575510878833,0.8076259627499378,1
beautiful_smile_00012,18.792566924955413,0.5816821947569503,3
beautiful_smile_00013,19.47943033673311,0.6746704530964598,2
beautiful_smile_00014,26.034058794877396,0.7694544310889115,2
beautiful_smile_00015,19.693694458753853,0.49213708602084966,3
beautiful_smile_00019,18.71766869203685,0.6452158714165199,3
beautiful_smile_00021,25.915938982905207,0.830461143176344,1
beautiful_smile_00023,22.380513030252935,0.7572533854223196,2
beautiful_smile_00025,31.074147427417543,0.9511804170833196,0
beautiful_smile_00026,28.201457449915416,0.944155347249133,0
beautiful_smile_00027,23.972860311275824,0.8749578901710335,1
beautiful_smile_00028,19.133756149395648,0.5503402522161295,3
beautiful_smile_00031,29.24572976513644,0.9399108971133348,0
beautiful_smile_00032,25.71067169797052,0.7759036883106255,2
beautiful_smile_00036,18.880140680205493,0.7021571814367417,2
beautiful_smile_00038,22.35325893875995,0.7435147889842633,2
beautiful_smile_00041,22.412596558897484,0.8269826140160604,1
beautiful_smile_00042,23.91937269523991,0.8773762308461595,1
beautiful_smile_00044,24.900197543102806,0.8692050248478057,1
beautiful_smile_00045,22.141379825242417,0.8158354791355755,1
beautiful_smile_00048,31.69910945048493,0.9423045760934016,0
beautiful_smile_00049,17.32818432824175,0.416808063516329,3
beautiful_smile_00050,19.59530085834645,0.6015393329175808,3
beautiful_smile_00051,21.96203290961605,0.7715455366541745,2
beautiful_smile_00054,23.209541934058677,0.8877783771783938,0
beautiful_smile_00055,22.9980990760178,0.8236768185882549,1
beautiful_smile_00057,21.587803722825505,0.6068028791464278,3
beautiful_smile_00058,22.258012481867446,0.8328134324561314,1
beautiful_smile_00060,21.69855604526742,0.7929568218860554,1
beautiful_smile_00063,16.81299046475435,0.6614269162989452,3
beautiful_smile_00066,31.770223703671945,0.9720587266579328,0
beautiful_smile_00068,30.697701971711695,0.9630673806883466,0
beautiful_smile_00070,27.406638979060798,0.9194279786251878,0
beautiful_smile_00071,21.541491199805655,0.7958869991720255,1
beautiful_smile_00073,20.27601507960927,0.7634150179509891,2
beautiful_smile_00079,30.267173653677034,0.9476872731065291,0
beautiful_smile_00080,19.623085758969445,0.6210722439070241,3
beautiful_smile_00081,22.236192707563443,0.8245885726832146,1
beautiful_smile_00082,20.40366982679014,0.7507814954655315,2
beautiful_smile_00083,16.655167243274608,0.6419450983536401,3
beautiful_smile_00084,24.942974852828446,0.8345815190063373,1
beautiful_smile_00086,21.660842829612594,0.757426856763252,2
beautiful_smile_00090,26.95488479693093,0.9121773399013561,0
beautiful_smile_00092,18.57591416258966,0.7531617762424992,2
beautiful_smile_00094,21.878321845186548,0.7707448206476744,2
beautiful_smile_00095,25.17419396913607,0.8788840474962734,1
beautiful_smile_00098,24.946537081386985,0.7898598723395336,1
beautiful_smile_00100,24.872448264349206,0.7924379621655524,1
beautiful_smile_00101,20.115518029165177,0.7163126795306219,2
beautiful_smile_00104,21.910132869193614,0.8395769350299659,1
beautiful_smile_00109,27.03704715490083,0.9068282024134858,0
beautiful_smile_00111,26.496911836520866,0.8818304542347267,1
beautiful_smile_00113,29.28880126193483,0.920775729533422,0
beautiful_smile_00114,15.555180011496823,0.5987295020722354,3
beautiful_smile_00116,20.339020939937015,0.7808668359090938,2
beautiful_smile_00117,20.58428814452466,0.7740562133360284,2
beautiful_smile_00118,26.681799507116963,0.886089187886291,0
beautiful_smile_00119,23.527314532484237,0.8890910826522687,0
beautiful_smile_00121,24.5837779962736,0.883192996746269,1
beautiful_smile_00122,18.740293584354532,0.7212033378407695,2
beautiful_smile_00123,20.70589757064562,0.6751982189324268,2
beautiful_smile_00124,25.300485810926574,0.8266241333415395,1
beautiful_smile_00125,28.20280927932469,0.9345027172905056,0
beautiful_smile_00128,26.27200352333121,0.8207352258457984,1
beautiful_smile_00129,26.578778632838926,0.8951064199149424,0
beautiful_smile_00131,23.130607685184117,0.8643096636115668,1
beautiful_smile_00132,20.380959849951296,0.6575593696961016,3
beautiful_smile_00137,25.96856622695856,0.910923139320817,0
beautiful_smile_00139,24.351109804137934,0.8641105652629097,1
beautiful_smile_00142,23.856606186556192,0.8717254944941809,1
beautiful_smile_00143,20.443622639570798,0.7366856513711962,2
beautiful_smile_00144,29.931219221619557,0.9525346914153139,0
beautiful_smile_00146,19.5896563409283,0.6162279894429649,3
beautiful_smile_00147,26.853715130611235,0.8796963551877409,1
beautiful_smile_00149,22.54036568513345,0.6843407838152114,2
beautiful_smile_00151,24.94136688108029,0.7024490949591288,2
beautiful_smile_00165,26.73104090165591,0.8604722781647752,1
beautiful_smile_00174,19.93558891354533,0.695374251138677,2
beautiful_smile_00176,23.637967785605234,0.7466114087389296,2
beautiful_smile_00179,27.416224740408186,0.9119584649983914,0
beautiful_smile_00181,22.04383809745054,0.8104422684887047,1
beautiful_smile_00182,33.48077909641879,0.9761283533369117,0
beautiful_smile_00185,28.21887216592358,0.9494330260742544,0
beautiful_smile_00186,21.32724561657197,0.8800890738612589,1
beautiful_smile_00188,27.125576896282674,0.9165770472645475,0
beautiful_smile_00192,29.4323371537445,0.8964646468575269,0
beautiful_smile_00196,34.25352496613458,0.9756555895289774,0
beautiful_smile_00199,16.148497104192117,0.574291847429331,3
beautiful_smile_00213,30.60403545891008,0.9761030962488509,0
beautiful_smile_00216,22.527432514641774,0.8709519992703039,1
beautiful_smile_00217,19.159790181176827,0.7773393618440761,2
beautiful_smile_00220,20.39028372548802,0.7360006956897207,2
beautiful_smile_00223,28.1232003645933,0.9245444059257865,0
beautiful_smile_00228,25.930205649004343,0.8585669513100497,1
beautiful_smile_00229,27.189137578175323,0.9396096484096383,0
beautiful_smile_00230,21.081149777412147,0.8526331433769847,1
beautiful_smile_00232,22.084804397782655,0.860820693193799,1
beautiful_smile_00234,28.451082714165693,0.9469790845769837,0
beautiful_smile_00238,28.293534648998676,0.9326057693098776,0
beautiful_smile_00239,21.04157068371584,0.7990293328145791,1
beautiful_smile_00240,19.533688241698698,0.7904277946139348,1
beautiful_smile_00251,25.67217442437498,0.905426537204326,0
beautiful_smile_00253,18.556761851047447,0.7625398202943322,2
beautiful_smile_00258,24.395560822410978,0.8288373862304925,1
beautiful_smile_00264,20.31375613491187,0.7372938330810377,2
beautiful_smile_00265,26.799206143884252,0.8758612167841539,1
beautiful_smile_00266,17.737577042403153,0.5766876398623408,3
beautiful_smile_00268,17.93447160624716,0.7203775846361322,2
beautiful_smile_00269,25.860063990124917,0.8463250492310526,1
beautiful_smile_00270,18.357313711335436,0.6872890466580245,2
beautiful_smile_00271,23.628056953611136,0.8822887463524001,1
beautiful_smile_00272,18.478413506302967,0.7302821427648081,2
beautiful_smile_00275,15.89391954866252,0.6918340106233936,2
beautiful_smile_00277,15.948782249554881,0.5540729127111632,3
beautiful_smile_00281,27.69587255135297,0.881569775628517,1
beautiful_smile_00287,28.531936010508314,0.8968404801822933,0
beautiful_smile_00289,26.585420765945756,0.8562081518036588,1
beautiful_smile_00291,28.316483019781863,0.8689541900438528,1
beautiful_smile_00293,22.9943911594724,0.6988383492416961,2
beautiful_smile_00294,17.23654045222807,0.5975513266407076,3
beautiful_smile_00296,18.470806109571214,0.644423822482079,3
beautiful_smile_00298,20.609217178606613,0.6628237943641588,3
beautiful_smile_00299,19.627128238661207,0.7194196551519997,2
beautiful_smile_00307,24.804178934526888,0.8277746451994642,1
beautiful_smile_00308,20.91011604480642,0.7685148404400679,2
beautiful_smile_00309,24.783740596770922,0.845109405548423,1
beautiful_smile_00310,21.378888266783132,0.7626045465555918,2
beautiful_smile_00313,39.90027433273745,0.9843977559614685,0
beautiful_smile_00314,27.26586522860236,0.9364644163342132,0
beautiful_smile_00315,21.091752939928796,0.7681293468237652,2
beautiful_smile_00317,22.397946551205465,0.7820439902367217,2
beautiful_smile_00318,24.016266688662707,0.7489441701120602,2
beautiful_smile_00322,24.442837716770505,0.8713920602646867,1
beautiful_smile_00323,16.641119141629527,0.579226208610971,3
beautiful_smile_00326,25.403470875596526,0.7631390739326653,2
beautiful_smile_00327,20.321240184119496,0.7028121648528906,2
beautiful_smile_00328,19.23072974735386,0.5745198198742942,3
beautiful_smile_00338,24.438855757501734,0.8041051681394437,1
beautiful_smile_00339,20.37087900692199,0.7844036708295316,2
beautiful_smile_00341,27.475676701238903,0.8811564002983971,1
beautiful_smile_00342,21.228414793739642,0.7964555637499964,1
